Index,Start Time,End Time,Start Time (sec),Text,Movie,Analysis,Language,Sadness,Joy,Fear,Disgust,Anger
29,0:4:1,0:4:3,241,"Oh, it's so great.",Ghost,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 18,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.034956,
        ""joy"": 0.973287,
        ""fear"": 0.01643,
        ""disgust"": 0.002206,
        ""anger"": 0.010036
      }
    }
  }
}",en,0.034956,0.973287,0.01643,0.002206,0.010036
30,0:4:12,0:4:15,252,I had Rose move your 3:00 to 4:00.,Ghost,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 34,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.10694,
        ""joy"": 0.565588,
        ""fear"": 0.051468,
        ""disgust"": 0.031475,
        ""anger"": 0.068049
      }
    }
  }
}",en,0.10694,0.565588,0.051468,0.031475,0.068049
31,0:4:15,0:4:17,255,Gary Allen called late yesterday.,Ghost,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 33,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.136712,
        ""joy"": 0.229534,
        ""fear"": 0.141038,
        ""disgust"": 0.100569,
        ""anger"": 0.092134
      }
    }
  }
}",en,0.136712,0.229534,0.141038,0.100569,0.092134
32,0:4:17,0:4:19,257,He has to see you,Ghost,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 17,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.196093,
        ""joy"": 0.293007,
        ""fear"": 0.101412,
        ""disgust"": 0.04011,
        ""anger"": 0.067556
      }
    }
  }
}",en,0.196093,0.293007,0.101412,0.04011,0.067556
33,0:4:19,0:4:21,259,about the final painting bids for the loft.,Ghost,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 43,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.146618,
        ""joy"": 0.79935,
        ""fear"": 0.02207,
        ""disgust"": 0.009054,
        ""anger"": 0.04484
      }
    }
  }
}",en,0.146618,0.79935,0.02207,0.009054,0.04484
34,0:4:21,0:4:24,261,3:00 is the only time he can make it.,Ghost,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 37,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.096196,
        ""joy"": 0.571077,
        ""fear"": 0.075905,
        ""disgust"": 0.022403,
        ""anger"": 0.113089
      }
    }
  }
}",en,0.096196,0.571077,0.075905,0.022403,0.113089
35,0:4:25,0:4:27,265,Sam?,Ghost,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 4,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.121016,
        ""joy"": 0.49517,
        ""fear"": 0.206458,
        ""disgust"": 0.022757,
        ""anger"": 0.190677
      }
    }
  }
}",en,0.121016,0.49517,0.206458,0.022757,0.190677
36,0:4:30,0:4:31,270,"Huh? Oh, I'm sorry.",Ghost,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 19,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.203816,
        ""joy"": 0.331561,
        ""fear"": 0.086181,
        ""disgust"": 0.023605,
        ""anger"": 0.102586
      }
    }
  }
}",en,0.203816,0.331561,0.086181,0.023605,0.102586
37,0:4:31,0:4:34,271,Relax. This isn't brain surgery you're going into.,Ghost,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 50,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.265331,
        ""joy"": 0.366545,
        ""fear"": 0.229634,
        ""disgust"": 0.02152,
        ""anger"": 0.124923
      }
    }
  }
}",en,0.265331,0.366545,0.229634,0.02152,0.124923
38,0:4:34,0:4:37,274,Pitching these Japanese guys makes me so nervous.,Ghost,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 49,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.055406,
        ""joy"": 0.109564,
        ""fear"": 0.30863,
        ""disgust"": 0.04597,
        ""anger"": 0.035958
      }
    }
  }
}",en,0.055406,0.109564,0.30863,0.04597,0.035958
39,0:4:37,0:4:39,277,Sam...,Ghost,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 6,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.152512,
        ""joy"": 0.604295,
        ""fear"": 0.145494,
        ""disgust"": 0.023766,
        ""anger"": 0.16703
      }
    }
  }
}",en,0.152512,0.604295,0.145494,0.023766,0.16703
40,0:4:39,0:4:41,279,"you're going to be great, OK?",Ghost,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 29,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.018123,
        ""joy"": 0.898325,
        ""fear"": 0.039841,
        ""disgust"": 0.002464,
        ""anger"": 0.021916
      }
    }
  }
}",en,0.018123,0.898325,0.039841,0.002464,0.021916
41,0:4:42,0:4:44,282,What am I supposed to say?,Ghost,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 26,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.222454,
        ""joy"": 0.026464,
        ""fear"": 0.211905,
        ""disgust"": 0.087213,
        ""anger"": 0.167847
      }
    }
  }
}",en,0.222454,0.026464,0.211905,0.087213,0.167847
42,0:4:44,0:4:45,284,I can't tell them,Ghost,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 17,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.579432,
        ""joy"": 0.034494,
        ""fear"": 0.204168,
        ""disgust"": 0.058935,
        ""anger"": 0.120363
      }
    }
  }
}",en,0.579432,0.034494,0.204168,0.058935,0.120363
43,0:4:45,0:4:48,285,"my Swedish pompom girl joke, you know.",Ghost,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 38,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.100263,
        ""joy"": 0.588752,
        ""fear"": 0.02685,
        ""disgust"": 0.206505,
        ""anger"": 0.028622
      }
    }
  }
}",en,0.100263,0.588752,0.02685,0.206505,0.028622
44,0:4:48,0:4:51,288,Those are great. Where'd you get those?,Ghost,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 39,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.072575,
        ""joy"": 0.66419,
        ""fear"": 0.12708,
        ""disgust"": 0.015779,
        ""anger"": 0.038279
      }
    }
  }
}",en,0.072575,0.66419,0.12708,0.015779,0.038279
