Index,Start Time,End Time,Start Time (sec),Text,Movie,Analysis,Language,Sadness,Joy,Fear,Disgust,Anger
23,0:1:30,0:1:33,90,But then things got worse.,The Conjuring,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 26,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.583643,
        ""joy"": 0.007552,
        ""fear"": 0.240734,
        ""disgust"": 0.03787,
        ""anger"": 0.17907
      }
    }
  }
}",en,0.583643,0.007552,0.240734,0.03787,0.17907
24,0:1:47,0:1:48,107,God.,The Conjuring,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 4,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.122313,
        ""joy"": 0.624696,
        ""fear"": 0.085104,
        ""disgust"": 0.0245,
        ""anger"": 0.092927
      }
    }
  }
}",en,0.122313,0.624696,0.085104,0.0245,0.092927
25,0:1:51,0:1:54,111,"When we came home, she was sitting in the hallway.",The Conjuring,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 50,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.112004,
        ""joy"": 0.066697,
        ""fear"": 0.260181,
        ""disgust"": 0.435254,
        ""anger"": 0.183217
      }
    }
  }
}",en,0.112004,0.066697,0.260181,0.435254,0.183217
26,0:1:54,0:1:56,114,But we had left her in the spare room.,The Conjuring,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 38,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.160414,
        ""joy"": 0.086575,
        ""fear"": 0.477632,
        ""disgust"": 0.025569,
        ""anger"": 0.493421
      }
    }
  }
}",en,0.160414,0.086575,0.477632,0.025569,0.493421
27,0:2:34,0:2:36,154,"Debbie! Debbie, wait!",The Conjuring,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 21,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.480322,
        ""joy"": 0.21366,
        ""fear"": 0.076008,
        ""disgust"": 0.0782,
        ""anger"": 0.041786
      }
    }
  }
}",en,0.480322,0.21366,0.076008,0.0782,0.041786
28,0:3:51,0:3:53,231,We are beyond terrified.,The Conjuring,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 24,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.041903,
        ""joy"": 0.0045,
        ""fear"": 0.987877,
        ""disgust"": 0.008564,
        ""anger"": 0.010365
      }
    }
  }
}",en,0.041903,0.0045,0.987877,0.008564,0.010365
29,0:3:53,0:3:57,233,We don't know what's going on or what to do. Can you help us?,The Conjuring,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 61,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.375604,
        ""joy"": 0.087533,
        ""fear"": 0.190923,
        ""disgust"": 0.050294,
        ""anger"": 0.113833
      }
    }
  }
}",en,0.375604,0.087533,0.190923,0.050294,0.113833
30,0:3:59,0:4:0,239,"Yes, we can.",The Conjuring,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 12,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.202257,
        ""joy"": 0.404497,
        ""fear"": 0.099191,
        ""disgust"": 0.023743,
        ""anger"": 0.069676
      }
    }
  }
}",en,0.202257,0.404497,0.099191,0.023743,0.069676
31,0:4:0,0:4:5,240,"Now, firstly, there's no such thing as Annabelle, and there never was.",The Conjuring,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 70,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.048593,
        ""joy"": 0.827345,
        ""fear"": 0.121392,
        ""disgust"": 0.147039,
        ""anger"": 0.018443
      }
    }
  }
}",en,0.048593,0.827345,0.121392,0.147039,0.018443
32,0:4:5,0:4:7,245,Ghosts don't possess such power.,The Conjuring,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 32,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.404627,
        ""joy"": 0.020498,
        ""fear"": 0.319276,
        ""disgust"": 0.013681,
        ""anger"": 0.124198
      }
    }
  }
}",en,0.404627,0.020498,0.319276,0.013681,0.124198
33,0:4:7,0:4:10,247,I think what we have here is something extremely manipulative.,The Conjuring,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 62,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.380337,
        ""joy"": 0.025415,
        ""fear"": 0.06534,
        ""disgust"": 0.010826,
        ""anger"": 0.589879
      }
    }
  }
}",en,0.380337,0.025415,0.06534,0.010826,0.589879
34,0:4:10,0:4:12,250,It's something inhuman.,The Conjuring,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 23,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.708162,
        ""joy"": 0.048182,
        ""fear"": 0.031293,
        ""disgust"": 0.010769,
        ""anger"": 0.040435
      }
    }
  }
}",en,0.708162,0.048182,0.031293,0.010769,0.040435
35,0:4:12,0:4:14,252,It was a big mistake acknowledging this doll.,The Conjuring,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 45,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.630393,
        ""joy"": 0.034926,
        ""fear"": 0.100223,
        ""disgust"": 0.068287,
        ""anger"": 0.029723
      }
    }
  }
}",en,0.630393,0.034926,0.100223,0.068287,0.029723
36,0:4:15,0:4:17,255,"And through that, the inhuman spirit tricked you.",The Conjuring,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 49,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.713658,
        ""joy"": 0.056408,
        ""fear"": 0.040293,
        ""disgust"": 0.016443,
        ""anger"": 0.037518
      }
    }
  }
}",en,0.713658,0.056408,0.040293,0.016443,0.037518
37,0:4:17,0:4:20,257,You gave it permission to infest your lives.,The Conjuring,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 44,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.094449,
        ""joy"": 0.238711,
        ""fear"": 0.044131,
        ""disgust"": 0.033931,
        ""anger"": 0.120987
      }
    }
  }
}",en,0.094449,0.238711,0.044131,0.033931,0.120987
38,0:4:20,0:4:22,260,What's an inhuman spirit?,The Conjuring,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 25,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.685716,
        ""joy"": 0.069081,
        ""fear"": 0.074328,
        ""disgust"": 0.004063,
        ""anger"": 0.019947
      }
    }
  }
}",en,0.685716,0.069081,0.074328,0.004063,0.019947
39,0:4:23,0:4:26,263,It's something that's never walked the earth in human form.,The Conjuring,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 59,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.145369,
        ""joy"": 0.182533,
        ""fear"": 0.06762,
        ""disgust"": 0.026221,
        ""anger"": 0.346101
      }
    }
  }
}",en,0.145369,0.182533,0.06762,0.026221,0.346101
40,0:4:26,0:4:28,266,It's something demonic.,The Conjuring,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 23,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.101638,
        ""joy"": 0.033827,
        ""fear"": 0.374906,
        ""disgust"": 0.030725,
        ""anger"": 0.145194
      }
    }
  }
}",en,0.101638,0.033827,0.374906,0.030725,0.145194
41,0:4:32,0:4:34,272,So the doll was never possessed?,The Conjuring,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 32,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.602213,
        ""joy"": 0.020479,
        ""fear"": 0.354434,
        ""disgust"": 0.021757,
        ""anger"": 0.013838
      }
    }
  }
}",en,0.602213,0.020479,0.354434,0.021757,0.013838
42,0:4:34,0:4:36,274,"No, no, it was used as a conduit.",The Conjuring,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 33,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.456343,
        ""joy"": 0.513806,
        ""fear"": 0.052141,
        ""disgust"": 0.006609,
        ""anger"": 0.032851
      }
    }
  }
}",en,0.456343,0.513806,0.052141,0.006609,0.032851
43,0:4:37,0:4:39,277,It was moved around to give the impression of possession.,The Conjuring,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 57,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.25257,
        ""joy"": 0.224208,
        ""fear"": 0.223102,
        ""disgust"": 0.018237,
        ""anger"": 0.077613
      }
    }
  }
}",en,0.25257,0.224208,0.223102,0.018237,0.077613
44,0:4:39,0:4:43,279,"Demonic spirits don't possess things, they possess people.",The Conjuring,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 58,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.167183,
        ""joy"": 0.077673,
        ""fear"": 0.215097,
        ""disgust"": 0.011767,
        ""anger"": 0.129205
      }
    }
  }
}",en,0.167183,0.077673,0.215097,0.011767,0.129205
45,0:4:44,0:4:46,284,It wanted to get inside of you.,The Conjuring,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 31,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.302546,
        ""joy"": 0.292733,
        ""fear"": 0.106189,
        ""disgust"": 0.021442,
        ""anger"": 0.053096
      }
    }
  }
}",en,0.302546,0.292733,0.106189,0.021442,0.053096
46,0:4:55,0:4:59,295,"All right, that's good, Drew. You can shut it down now.",The Conjuring,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 55,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.139075,
        ""joy"": 0.476392,
        ""fear"": 0.076697,
        ""disgust"": 0.017562,
        ""anger"": 0.343228
      }
    }
  }
}",en,0.139075,0.476392,0.076697,0.017562,0.343228
47,0:5:0,0:5:2,300,Hit the lights.,The Conjuring,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 15,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.063961,
        ""joy"": 0.093401,
        ""fear"": 0.507279,
        ""disgust"": 0.041242,
        ""anger"": 0.15002
      }
    }
  }
}",en,0.063961,0.093401,0.507279,0.041242,0.15002
48,0:5:5,0:5:7,305,So we got the church to send a priest over...,The Conjuring,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 45,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.102946,
        ""joy"": 0.470435,
        ""fear"": 0.165166,
        ""disgust"": 0.068049,
        ""anger"": 0.027222
      }
    }
  }
}",en,0.102946,0.470435,0.165166,0.068049,0.027222
49,0:5:7,0:5:9,307,...to bless the house and the occupants.,The Conjuring,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 40,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.026803,
        ""joy"": 0.824261,
        ""fear"": 0.124802,
        ""disgust"": 0.016702,
        ""anger"": 0.016747
      }
    }
  }
}",en,0.026803,0.824261,0.124802,0.016702,0.016747
50,0:5:9,0:5:13,309,Whatever was oppressing that apartment was no longer with them. Any questions?,The Conjuring,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 78,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.19577,
        ""joy"": 0.184829,
        ""fear"": 0.368392,
        ""disgust"": 0.035749,
        ""anger"": 0.075453
      }
    }
  }
}",en,0.19577,0.184829,0.368392,0.035749,0.075453
